Student ID,Outcome,Reason,Job Seeking,Previous Salary,New Salary,Salary Delta,Filtered New Salary,Filtered Salary Delta,Delta when Below 60K,Repeated a Module,Filtered Repeated,,Gender Identity,Filtered Gender,Racial Identity,Filtered Racial,,Veteran Status,Filtered Veteran,,Highest Degree,Filtered W/O Degree,,Job Hunt Length,Filtered Job Hunt,,Job Title,Filtered Job Title
267,graduated,,Yes,"$60,000","$110,000","$50,000","$110,000","$50,000",,None,None,,Male,Male,Asian/Pacific Islander,Asian/Pacific Islander,,No,No,,Bachelor's degree,Bachelor's degree,,I received an offer before graduation,I received an offer before graduation,,Software Engineer,Software Engineer
276,graduated,,Yes,"$65,000","$70,000","$5,000","$70,000","$5,000",,None,None,,Male,Male,White,White,,No,No,,Master's degree,Master's degree,,Exempt,Exempt,,Full Stack Software Developer,Full Stack Software Developer
278,graduated,,Yes,"$39,000","$65,000","$26,000","$65,000","$26,000","$26,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,31-60 days,31-60 days,,Developer,Developer
299,expelled,student harassment,,,,,,,,,,,Female,,White,,,,,,,,,,,,,
300,graduated,,Yes,"$85,000","$70,000","-$15,000","$70,000","-$15,000",,None,None,,Male,Male,Asian/Pacific Islander,Asian/Pacific Islander,,No,No,,Bachelor's degree,Bachelor's degree,,90-120 days,90-120 days,,Resident Apprentice,Resident Apprentice
303,graduated,,Yes,"$30,000","$90,000","$60,000","$90,000","$60,000","$60,000",None,None,,Female,Female,White,White,,No,No,,High School Diploma or equivalent,High School Diploma or equivalent,,I received an offer before graduation,I received an offer before graduation,,Software engineer,Software engineer
308,graduated,,Yes,"$45,000","$80,000","$35,000","$80,000","$35,000","$35,000",None,None,,Male,Male,"White, Hispanic or Latino","White, Hispanic or Latino",,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Software Developer,Software Developer
312,graduated,,Yes,"$42,000","$75,000","$33,000","$75,000","$33,000","$33,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,61-90 days,61-90 days,,Developer,Developer
320,graduated,,Yes,,,,,,,,,,Female,Female,White,White,,,,,,,,61-90 days,61-90 days,,,
371,graduated,,Yes,"$65,000","$70,000","$5,000","$70,000","$5,000",,None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,31-60 days,31-60 days,,Software Engineer,Software Engineer
