Student ID,Outcome,Reason,Job Seeking,Previous Salary,New Salary,Salary Delta,Filtered New Salary,Filtered Salary Delta,Delta when Below 60K,Repeated a Module,Filtered Repeated,,Gender Identity,Filtered Gender,Racial Identity,Filtered Racial,,Veteran Status,Filtered Veteran,,Highest Degree,Filtered W/O Degree,,Job Hunt Length,Filtered Job Hunt,,Job Title,Filtered Job Title
1288,graduated,,Yes,$0,"$75,000","$75,000","$75,000","$75,000","$75,000",None,None,,Female,Female,White,White,,No,No,,Some additional training; incomplete degree or certification,Some additional training; incomplete degree or certification,,I received an offer before graduation,I received an offer before graduation,,Software Engineer,Software Engineer
1294,expelled,academic dishonesty,Yes,,,,,,,,,,Male,,White,,,,,,,,,,,,,
1362,graduated,,Yes,"$75,000","$75,000",$0,"$75,000",$0,,None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Software Engineer,Software Engineer
1377,enrolled,,,,,,,,,,,,Female,,White,,,,,,,,,,,,,
1390,enrolled,,Yes,"$70,000",,,,,,Repeated one module,,,Male,,White,,,No,,,Bachelor's degree,,,No Offers or Did Not Seek,,,N/A,
1441,did not finish,employed,Yes,"$95,000","$70,000","-$25,000",,,,None,,,Male,,White,,,Yes,,,Bachelor's degree,,,I received an offer before graduation,,,Junior Software Engineer,
1443,did not finish,academic drop out,,,,,,,,,,,Male,,White,,,Yes,,,,,,,,,,
1471,did not finish,academic drop out,,,,,,,,,,,Male,,White,,,,,,,,,,,,,
1485,finished,academic drop out,,,,,,,,,,,Male,,White,,,,,,,,,,,,,
1497,did not finish,academic drop out,,,,,,,,,,,Male,,White,,,,,,,,,,,,,
1527,did not finish,employed,No,$0,"$75,000","$75,000",,,"$75,000",None,,,Male,,White,,,No,,,Bachelor's degree,,,Did not graduate,,,Software Engineer,
,,,,,93,,,,64,No module repeats,88,90.72%,,,,,,,,,,,,,,,,
,,,,Averages:,"$74,351","$32,930","$74,535","$32,929","$44,885",Repeated 1 module,5,5.15%,,,,,,,,,,,,,,,,
,,,,,,,,,,Repeated >1 module,4,4.12%,,,,,,,,,,,,,,,,
,total:,136,,,,,,,,,,,Enrollees,Grads,,Enrollees,Grads,,Enrollees,Grads,,Enrollees,Grads,Seekers,96,,,
,enrolled,4,,,,,,,,,,Male,98,74,White,104,73,Veteran,6,4,With 4 Year,86,77,Before Grad,24,25.00%,,
,not-enrolled,132,,,,,,,,,,Female,38,27,Non-White,32,28,Non-Veteran,130,93,Without 4 Year,22,19,w/in 30,48,50.00%,,
,graduated:,101,,76.52%,,,,,,,,Male %,72.06%,73.27%,White %,76.47%,72.28%,Veteran %,4.41%,4.12%,With 4 Year %,79.63%,80.21%,w/in 60,64,66.67%,,
,finished w/o grad,7,,5.30%,,,,,,,,Female %,27.94%,26.73%,Non-White %,23.53%,27.72%,Non-Veteran %,95.59%,95.88%,Without 4 %,20.37%,19.79%,w/in 90,81,84.38%,,
,expelled,2,,1.52%,,,,,,,,138,,,,,,,,,,,,w/in 120,88,91.67%,,
,did not finish,22,,16.67%,,,,,,,,,,,,,,,,,,,,120+,94,97.92%,,
,,,,,,,,,,,,,,,,,,,,,,,,No Offers,2,2.08%,,
,Why didn't they graduate?,,,% of Non-Grads,% of Overall,,,,,,,,,,,,,,,,,,,Recent Grad,0,0.00%,,
,finished + dnf,29,,,,,,,,,,,,,,,,,,,,,,,,,,
,employed,9,,31.03%,6.82%,,,,,,,,,,,,,,,,,,,W/O Grad,9,,,
,academic drop out,14,,48.28%,10.61%,,,,,,,,,,,,,,,,,,,Seekers,105,,,
,early drop / bad fit,4,,13.79%,3.03%,,,,,,,,,,,,,,,,,,,Before Grad,33,31.43%,,
,elective drop out,2,,6.90%,1.52%,,,,,,,,,,,,,,,,,,,w/in 30,57,54.29%,,
,,,,,,,,,,,,,,,,,,,,,,,,w/in 60,73,69.52%,,
,Grads + Employed,110,,,83.33%,,,,,,,,,,,,,,,,,,,w/in 90,90,85.71%,,
,,,,,,,,,,,,,,,,,,,,,,,,w/in 120,97,92.38%,,
,,,,,,,,,,,,,,,,,,,,,,,,120+,103,98.10%,,
,,,,,,,,,,,,,,,,,,,,,,,,No Offers,2,1.90%,,
,,,,,,,,,,,,,,,,,,,,,,,,Recent Grad,0,0.00%,,
